Diocese,School Year,Enrollment
"Albany, NY",11-12,6478
"Albany, NY",13-14,6373
"Albany, NY",15-16,4745
"Albany, NY",17-18,5298
"Albany, NY",19-20,4164
"Albany, NY",21-22,3956
"Alexandria, LA",11-12,2522
"Alexandria, LA",13-14,2488
"Alexandria, LA",15-16,2704
"Alexandria, LA",17-18,2635
"Alexandria, LA",19-20,2275
"Alexandria, LA",21-22,1963
"Allentown, PA",11-12,11120
"Allentown, PA",13-14,10207
"Allentown, PA",15-16,9933
"Allentown, PA",17-18,10254
"Allentown, PA",19-20,10267
"Allentown, PA",21-22,7098
"Altoona-Johnstown, PA",11-12,4271
"Altoona-Johnstown, PA",13-14,4481
"Altoona-Johnstown, PA",15-16,4037
"Altoona-Johnstown, PA",17-18,3403
"Altoona-Johnstown, PA",19-20,2094
"Altoona-Johnstown, PA",21-22,3104
"Amarillo, TX",11-12,670
"Amarillo, TX",13-14,761
"Amarillo, TX",15-16,925
"Amarillo, TX",17-18,864
"Amarillo, TX",19-20,795
"Amarillo, TX",21-22,535
"Anchorage, AK",11-12,481
"Anchorage, AK",13-14,407
"Anchorage, AK",15-16,444
"Anchorage, AK",17-18,517
"Anchorage, AK",19-20,435
"Anchorage, AK",21-22,451
"Arlington, VA",11-12,16283
"Arlington, VA",13-14,15236
"Arlington, VA",15-16,14304
"Arlington, VA",17-18,14539
"Arlington, VA",19-20,13786
"Arlington, VA",21-22,16889
"Atlanta, GA",11-12,11853
"Atlanta, GA",13-14,11410
"Atlanta, GA",15-16,9243
"Atlanta, GA",17-18,11727
"Atlanta, GA",19-20,9768
"Atlanta, GA",21-22,9437
"Austin, TX",11-12,5150
"Austin, TX",13-14,4823
"Austin, TX",15-16,5177
"Austin, TX",17-18,5633
"Austin, TX",19-20,4999
"Austin, TX",21-22,5523
"Baker, OR",11-12,232
"Baker, OR",13-14,246
"Baker, OR",15-16,314
"Baker, OR",17-18,259
"Baker, OR",19-20,531
"Baker, OR",21-22,554
"Baltimore, MD",11-12,27543
"Baltimore, MD",13-14,24240
"Baltimore, MD",15-16,22172
"Baltimore, MD",17-18,25163
"Baltimore, MD",19-20,23562
"Baltimore, MD",21-22,24774
"Baton Rouge, LA",11-12,12521
"Baton Rouge, LA",13-14,12144
"Baton Rouge, LA",15-16,10691
"Baton Rouge, LA",17-18,13498
"Baton Rouge, LA",19-20,8990
"Baton Rouge, LA",21-22,10383
"Beaumont, TX",11-12,1426
"Beaumont, TX",13-14,1334
"Beaumont, TX",15-16,1333
"Beaumont, TX",17-18,1467
"Beaumont, TX",19-20,1383
"Beaumont, TX",21-22,1123
"Belleville, IL",11-12,5790
"Belleville, IL",13-14,5782
"Belleville, IL",15-16,5779
"Belleville, IL",17-18,4939
"Belleville, IL",19-20,4797
"Belleville, IL",21-22,5175
"Biloxi, MS",11-12,4056
"Biloxi, MS",13-14,3691
"Biloxi, MS",15-16,2700
"Biloxi, MS",17-18,3494
"Biloxi, MS",19-20,4063
"Biloxi, MS",21-22,4331
"Birmingham, AL",11-12,5768
"Birmingham, AL",13-14,5574
"Birmingham, AL",15-16,5257
"Birmingham, AL",17-18,5112
"Birmingham, AL",19-20,4221
"Birmingham, AL",21-22,4290
"Bismarck, ND",11-12,2789
"Bismarck, ND",13-14,2424
"Bismarck, ND",15-16,2598
"Bismarck, ND",17-18,2769
"Bismarck, ND",19-20,2774
"Bismarck, ND",21-22,4762
"Boise, ID",11-12,3137
"Boise, ID",13-14,3288
"Boise, ID",15-16,3233
"Boise, ID",17-18,3493
"Boise, ID",19-20,3764
"Boise, ID",21-22,4138
"Boston, MA",11-12,40908
"Boston, MA",13-14,38072
"Boston, MA",15-16,32504
"Boston, MA",17-18,30505
"Boston, MA",19-20,26810
"Boston, MA",21-22,26109
"Bridgeport, CT",11-12,11038
"Bridgeport, CT",13-14,10223
"Bridgeport, CT",15-16,9414
"Bridgeport, CT",17-18,7550
"Bridgeport, CT",19-20,6622
"Bridgeport, CT",21-22,7394
"Brooklyn, NY",11-12,41152
"Brooklyn, NY",13-14,38780
"Brooklyn, NY",15-16,34952
"Brooklyn, NY",17-18,32013
"Brooklyn, NY",19-20,24965
"Brooklyn, NY",21-22,25778
"Brownsville, TX",11-12,4211
"Brownsville, TX",13-14,3427
"Brownsville, TX",15-16,3057
"Brownsville, TX",17-18,2411
"Brownsville, TX",19-20,2085
"Brownsville, TX",21-22,1365
"Buffalo, NY",11-12,15293
"Buffalo, NY",13-14,12869
"Buffalo, NY",15-16,12267
"Buffalo, NY",17-18,10725
"Buffalo, NY",19-20,5710
"Buffalo, NY",21-22,8198
"Burlington, VT",11-12,2043
"Burlington, VT",13-14,2039
"Burlington, VT",15-16,1738
"Burlington, VT",17-18,1865
"Burlington, VT",19-20,1795
"Burlington, VT",21-22,1460
"Camden, NJ",11-12,15774
"Camden, NJ",13-14,13391
"Camden, NJ",15-16,12010
"Camden, NJ",17-18,10841
"Camden, NJ",19-20,8614
"Camden, NJ",21-22,8921
"Charleston, SC",11-12,6283
"Charleston, SC",13-14,5795
"Charleston, SC",15-16,5789
"Charleston, SC",17-18,6189
"Charleston, SC",19-20,5424
"Charleston, SC",21-22,5666
"Charlotte, NC",11-12,7801
"Charlotte, NC",13-14,6128
"Charlotte, NC",15-16,6061
"Charlotte, NC",17-18,6117
"Charlotte, NC",19-20,4957
"Charlotte, NC",21-22,6327
"Cheyenne, WY",11-12,990
"Cheyenne, WY",13-14,998
"Cheyenne, WY",15-16,792
"Cheyenne, WY",17-18,678
"Cheyenne, WY",19-20,935
"Cheyenne, WY",21-22,513
"Chicago, IL",11-12,84683
"Chicago, IL",13-14,76305
"Chicago, IL",15-16,62346
"Chicago, IL",17-18,60878
"Chicago, IL",19-20,51084
"Chicago, IL",21-22,50439
"Cincinnati, OH",11-12,41773
"Cincinnati, OH",13-14,38378
"Cincinnati, OH",15-16,36389
"Cincinnati, OH",17-18,37888
"Cincinnati, OH",19-20,31203
"Cincinnati, OH",21-22,34677
"Cleveland, OH",11-12,42921
"Cleveland, OH",13-14,37842
"Cleveland, OH",15-16,37637
"Cleveland, OH",17-18,34894
"Cleveland, OH",19-20,30100
"Cleveland, OH",21-22,33192
"Colorado Springs, CO",11-12,1587
"Colorado Springs, CO",13-14,1411
"Colorado Springs, CO",15-16,1523
"Colorado Springs, CO",17-18,1891
"Colorado Springs, CO",19-20,1952
"Colorado Springs, CO",21-22,1640
"Columbus, OH",11-12,17074
"Columbus, OH",13-14,15676
"Columbus, OH",15-16,13156
"Columbus, OH",17-18,13210
"Columbus, OH",19-20,12671
"Columbus, OH",21-22,13507
"Corpus Christi, TX",11-12,3602
"Corpus Christi, TX",13-14,3203
"Corpus Christi, TX",15-16,2612
"Corpus Christi, TX",17-18,2469
"Corpus Christi, TX",19-20,2166
"Corpus Christi, TX",21-22,1766
"Covington, KY",11-12,9643
"Covington, KY",13-14,8723
"Covington, KY",15-16,8095
"Covington, KY",17-18,8932
"Covington, KY",19-20,7918
"Covington, KY",21-22,8295
"Crookston, MN",11-12,1315
"Crookston, MN",13-14,1254
"Crookston, MN",15-16,1208
"Crookston, MN",17-18,1327
"Crookston, MN",19-20,1380
"Crookston, MN",21-22,1446
"Dallas, TX",11-12,13902
"Dallas, TX",13-14,14164
"Dallas, TX",15-16,13099
"Dallas, TX",17-18,14145
"Dallas, TX",19-20,11038
"Dallas, TX",21-22,11598
"Davenport, IA",11-12,4785
"Davenport, IA",13-14,4437
"Davenport, IA",15-16,4627
"Davenport, IA",17-18,5125
"Davenport, IA",19-20,5141
"Davenport, IA",21-22,5583
"Denver, CO",11-12,14593
"Denver, CO",13-14,12179
"Denver, CO",15-16,12013
"Denver, CO",17-18,10278
"Denver, CO",19-20,11136
"Denver, CO",21-22,11608
"Des Moines, IA",11-12,5953
"Des Moines, IA",13-14,5829
"Des Moines, IA",15-16,6082
"Des Moines, IA",17-18,5390
"Des Moines, IA",19-20,5157
"Des Moines, IA",21-22,6109
"Detroit, MI",11-12,28620
"Detroit, MI",13-14,29662
"Detroit, MI",15-16,27862
"Detroit, MI",17-18,26328
"Detroit, MI",19-20,21261
"Detroit, MI",21-22,24018
"Dodge City, KS",11-12,994
"Dodge City, KS",13-14,904
"Dodge City, KS",15-16,839
"Dodge City, KS",17-18,544
"Dodge City, KS",19-20,558
"Dodge City, KS",21-22,704
"Dubuque, IA",11-12,12283
"Dubuque, IA",13-14,11353
"Dubuque, IA",15-16,11134
"Dubuque, IA",17-18,11788
"Dubuque, IA",19-20,8751
"Dubuque, IA",21-22,8345
"Duluth, MN",11-12,1470
"Duluth, MN",13-14,1427
"Duluth, MN",15-16,1220
"Duluth, MN",17-18,1052
"Duluth, MN",19-20,925
"Duluth, MN",21-22,1204
"El Paso, TX",11-12,4115
"El Paso, TX",13-14,3977
"El Paso, TX",15-16,3119
"El Paso, TX",17-18,2855
"El Paso, TX",19-20,2283
"El Paso, TX",21-22,2013
"Erie, PA",11-12,7363
"Erie, PA",13-14,5249
"Erie, PA",15-16,4434
"Erie, PA",17-18,5296
"Erie, PA",19-20,4567
"Erie, PA",21-22,5400
"Evansville, IN",11-12,6670
"Evansville, IN",13-14,6161
"Evansville, IN",15-16,4979
"Evansville, IN",17-18,6740
"Evansville, IN",19-20,6214
"Evansville, IN",21-22,6169
"Fairbanks, AK",11-12,491
"Fairbanks, AK",13-14,430
"Fairbanks, AK",15-16,807
"Fairbanks, AK",17-18,420
"Fairbanks, AK",19-20,372
"Fairbanks, AK",21-22,686
"Fall River, MA",11-12,6582
"Fall River, MA",13-14,7071
"Fall River, MA",15-16,4634
"Fall River, MA",17-18,5140
"Fall River, MA",19-20,4751
"Fall River, MA",21-22,5132
"Fargo, ND",11-12,1794
"Fargo, ND",13-14,1822
"Fargo, ND",15-16,1095
"Fargo, ND",17-18,1573
"Fargo, ND",19-20,2808
"Fargo, ND",21-22,2649
"Fresno, CA",11-12,6132
"Fresno, CA",13-14,4268
"Fresno, CA",15-16,4441
"Fresno, CA",17-18,4858
"Fresno, CA",19-20,4045
"Fresno, CA",21-22,3377
"Ft. Wayne-South Bend, IN",11-12,13680
"Ft. Wayne-South Bend, IN",13-14,12792
"Ft. Wayne-South Bend, IN",15-16,12807
"Ft. Wayne-South Bend, IN",17-18,13572
"Ft. Wayne-South Bend, IN",19-20,12058
"Ft. Wayne-South Bend, IN",21-22,12073
"Ft. Worth, TX",11-12,5776
"Ft. Worth, TX",13-14,5696
"Ft. Worth, TX",15-16,5190
"Ft. Worth, TX",17-18,4338
"Ft. Worth, TX",19-20,3777
"Ft. Worth, TX",21-22,3699
"Gallup, NM",11-12,1295
"Gallup, NM",13-14,1239
"Gallup, NM",15-16,1067
"Gallup, NM",17-18,794
"Gallup, NM",19-20,552
"Gallup, NM",21-22,618
"Galveston-Houston, TX",11-12,17888
"Galveston-Houston, TX",13-14,17075
"Galveston-Houston, TX",15-16,17298
"Galveston-Houston, TX",17-18,18734
"Galveston-Houston, TX",19-20,16582
"Galveston-Houston, TX",21-22,13623
"Gary, IN",11-12,6541
"Gary, IN",13-14,5250
"Gary, IN",15-16,5740
"Gary, IN",17-18,4284
"Gary, IN",19-20,4289
"Gary, IN",21-22,5830
"Gaylord, MI",11-12,2521
"Gaylord, MI",13-14,1686
"Gaylord, MI",15-16,1499
"Gaylord, MI",17-18,2648
"Gaylord, MI",19-20,2327
"Gaylord, MI",21-22,1678
"Grand Island, NE",11-12,1244
"Grand Island, NE",13-14,1571
"Grand Island, NE",15-16,1577
"Grand Island, NE",17-18,1549
"Grand Island, NE",19-20,1717
"Grand Island, NE",21-22,1777
"Grand Rapids, MI",11-12,6702
"Grand Rapids, MI",13-14,7353
"Grand Rapids, MI",15-16,5931
"Grand Rapids, MI",17-18,5576
"Grand Rapids, MI",19-20,4631
"Grand Rapids, MI",21-22,6009
"Great Falls-Billings, MT",11-12,2572
"Great Falls-Billings, MT",13-14,1878
"Great Falls-Billings, MT",15-16,1992
"Great Falls-Billings, MT",17-18,1457
"Great Falls-Billings, MT",19-20,975
"Great Falls-Billings, MT",21-22,1918
"Green Bay, WI",11-12,10639
"Green Bay, WI",13-14,11062
"Green Bay, WI",15-16,7297
"Green Bay, WI",17-18,11589
"Green Bay, WI",19-20,12704
"Green Bay, WI",21-22,15191
"Greensburg, PA",11-12,1877
"Greensburg, PA",13-14,2913
"Greensburg, PA",15-16,2885
"Greensburg, PA",17-18,2090
"Greensburg, PA",19-20,2089
"Greensburg, PA",21-22,2722
"Harrisburg, PA",11-12,11129
"Harrisburg, PA",13-14,7234
"Harrisburg, PA",15-16,6252
"Harrisburg, PA",17-18,6530
"Harrisburg, PA",19-20,8228
"Harrisburg, PA",21-22,6946
"Hartford, CT",11-12,15400
"Hartford, CT",13-14,13750
"Hartford, CT",15-16,9729
"Hartford, CT",17-18,10327
"Hartford, CT",19-20,9146
"Hartford, CT",21-22,8343
"Helena, MT",11-12,1183
"Helena, MT",13-14,1380
"Helena, MT",15-16,1588
"Helena, MT",17-18,1006
"Helena, MT",19-20,1382
"Helena, MT",21-22,1336
"Honolulu, HI",11-12,8633
"Honolulu, HI",13-14,8528
"Honolulu, HI",15-16,5785
"Honolulu, HI",17-18,7774
"Honolulu, HI",19-20,6567
"Honolulu, HI",21-22,6368
"Houma-Thibodaux, LA",11-12,5634
"Houma-Thibodaux, LA",13-14,4068
"Houma-Thibodaux, LA",15-16,2834
"Houma-Thibodaux, LA",17-18,3751
"Houma-Thibodaux, LA",19-20,3123
"Houma-Thibodaux, LA",21-22,3889
"Indianapolis, IN",11-12,22528
"Indianapolis, IN",13-14,21888
"Indianapolis, IN",15-16,19580
"Indianapolis, IN",17-18,21757
"Indianapolis, IN",19-20,18697
"Indianapolis, IN",21-22,18689
"Jackson, MS",11-12,4205
"Jackson, MS",13-14,3927
"Jackson, MS",15-16,3361
"Jackson, MS",17-18,3331
"Jackson, MS",19-20,2954
"Jackson, MS",21-22,2479
"Jefferson City, MO",11-12,7117
"Jefferson City, MO",13-14,6448
"Jefferson City, MO",15-16,6478
"Jefferson City, MO",17-18,6484
"Jefferson City, MO",19-20,5666
"Jefferson City, MO",21-22,6544
"Joliet, IL",11-12,20757
"Joliet, IL",13-14,18935
"Joliet, IL",15-16,16964
"Joliet, IL",17-18,15650
"Joliet, IL",19-20,10652
"Joliet, IL",21-22,12980
"Juneau, AK",11-12,92
"Juneau, AK",13-14,78
"Juneau, AK",15-16,57
"Juneau, AK",17-18,80
"Kalamazoo, MI",11-12,3659
"Kalamazoo, MI",13-14,2638
"Kalamazoo, MI",15-16,2598
"Kalamazoo, MI",17-18,2342
"Kalamazoo, MI",19-20,2013
"Kalamazoo, MI",21-22,2383
"Kansas City, KS",11-12,14017
"Kansas City, KS",13-14,11545
"Kansas City, KS",15-16,11287
"Kansas City, KS",17-18,12386
"Kansas City, KS",19-20,10406
"Kansas City, KS",21-22,10863
"Kansas City-St. Joseph, MO",11-12,10820
"Kansas City-St. Joseph, MO",13-14,9910
"Kansas City-St. Joseph, MO",15-16,8684
"Kansas City-St. Joseph, MO",17-18,9091
"Kansas City-St. Joseph, MO",19-20,7583
"Kansas City-St. Joseph, MO",21-22,9038
"Knoxville, TN",11-12,3516
"Knoxville, TN",13-14,3057
"Knoxville, TN",15-16,2058
"Knoxville, TN",17-18,2481
"Knoxville, TN",19-20,2043
"Knoxville, TN",21-22,2657
"La Crosse, WI",11-12,7943
"La Crosse, WI",13-14,6889
"La Crosse, WI",15-16,7067
"La Crosse, WI",17-18,8159
"La Crosse, WI",19-20,8629
"La Crosse, WI",21-22,9193
"Lafayette, IN",11-12,5320
"Lafayette, IN",13-14,5168
"Lafayette, IN",15-16,4395
"Lafayette, IN",17-18,4557
"Lafayette, IN",19-20,4141
"Lafayette, IN",21-22,4823
"Lafayette, LA",11-12,13764
"Lafayette, LA",13-14,12425
"Lafayette, LA",15-16,13952
"Lafayette, LA",17-18,11063
"Lafayette, LA",19-20,9607
"Lafayette, LA",21-22,9349
"Lake Charles, LA",11-12,2204
"Lake Charles, LA",13-14,2344
"Lake Charles, LA",15-16,2622
"Lake Charles, LA",17-18,2691
"Lake Charles, LA",19-20,2487
"Lake Charles, LA",21-22,2053
"Lansing, MI",11-12,8956
"Lansing, MI",13-14,7494
"Lansing, MI",15-16,8685
"Lansing, MI",17-18,8399
"Lansing, MI",19-20,5697
"Lansing, MI",21-22,6318
"Laredo, TX",11-12,1748
"Laredo, TX",13-14,1768
"Laredo, TX",15-16,1701
"Laredo, TX",17-18,1153
"Laredo, TX",19-20,948
"Laredo, TX",21-22,1597
"Las Cruces, NM",11-12,594
"Las Cruces, NM",13-14,534
"Las Cruces, NM",15-16,624
"Las Cruces, NM",17-18,566
"Las Cruces, NM",19-20,161
"Las Cruces, NM",21-22,542
"Las Vegas, NV",11-12,3986
"Las Vegas, NV",13-14,3403
"Las Vegas, NV",15-16,2960
"Las Vegas, NV",17-18,3067
"Las Vegas, NV",19-20,3500
"Las Vegas, NV",21-22,3976
"Lexington, KY",11-12,3940
"Lexington, KY",13-14,3661
"Lexington, KY",15-16,3603
"Lexington, KY",17-18,3509
"Lexington, KY",19-20,2544
"Lexington, KY",21-22,2958
"Lincoln, NE",11-12,8150
"Lincoln, NE",13-14,7742
"Lincoln, NE",15-16,7180
"Lincoln, NE",17-18,7019
"Lincoln, NE",19-20,7819
"Lincoln, NE",21-22,6910
"Little Rock, AR",11-12,7015
"Little Rock, AR",13-14,6206
"Little Rock, AR",15-16,6562
"Little Rock, AR",17-18,6044
"Little Rock, AR",19-20,5297
"Little Rock, AR",21-22,6285
"Los Angeles, CA",11-12,75943
"Los Angeles, CA",13-14,65507
"Los Angeles, CA",15-16,62486
"Los Angeles, CA",17-18,66847
"Los Angeles, CA",19-20,56449
"Los Angeles, CA",21-22,57429
