Diocese,School Year,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
"Little Rock, AR",21-22,6285,5297,1.186520672078535,988,34.0,81.14285714285714,36.0,80.0,6044,1.0398742554599603,241,45.0,74.85714285714286,54.0,69.71428571428572,7015,0.8959372772630079,-730,69.0,61.142857142857146,54.0,69.71428571428572
"Los Angeles, CA",21-22,57429,56449,1.0173608035571933,980,35.0,80.57142857142857,104.0,41.14285714285714,66847,0.8591111044624291,-9418,174.0,1.1428571428571428,113.0,36.0,75943,0.7562118957639282,-18514,172.0,2.2857142857142856,106.0,40.0
"Louisville, KY",21-22,15369,16266,0.9448542973072667,-897,157.0,10.857142857142858,132.0,25.142857142857146,18110,0.8486471562672556,-2741,154.0,12.571428571428573,117.0,33.714285714285715,19212,0.7999687695190506,-3843,139.0,21.142857142857142,85.0,52.0
"Lubbock, TX",21-22,274,247,1.1093117408906883,27,105.0,40.57142857142857,59.0,66.85714285714286,472,0.5805084745762712,-198,87.0,50.857142857142854,172.0,2.2857142857142856,54,5.074074074074074,220,20.0,89.14285714285714,1.0,100.0
"Madison, WI",21-22,5864,5263,1.1141934258027741,601,56.0,68.57142857142857,57.0,68.0,5404,1.085122131754256,460,26.0,85.71428571428571,38.0,78.85714285714286,7469,0.7851117954210738,-1605,96.0,45.714285714285715,94.0,46.85714285714286
"Manchester, NH",21-22,4448,5021,0.8858793069109739,-573,144.0,18.285714285714285,146.0,17.142857142857142,5953,0.7471862926255669,-1505,131.0,25.71428571428571,154.0,12.571428571428573,7355,0.6047586675730795,-2907,128.0,27.42857142857143,147.0,16.57142857142857
"Marquette, MI",21-22,1096,1093,1.0027447392497713,3,109.0,38.285714285714285,108.0,38.857142857142854,1057,1.0368968779564807,39,67.0,62.28571428571429,55.0,69.14285714285714,1435,0.7637630662020906,-339,48.0,73.14285714285714,103.0,41.714285714285715
"Memphis, TN",21-22,2204,2782,0.792235801581596,-578,145.0,17.71428571428571,165.0,6.2857142857142865,4985,0.44212637913741226,-2781,156.0,11.428571428571429,175.0,0.5714285714285714,4766,0.4624422996223248,-2562,119.0,32.57142857142858,172.0,2.2857142857142856
"Metuchen, NJ",21-22,5494,5633,0.9753239836676726,-139,119.0,32.57142857142858,118.0,33.14285714285714,7161,0.7672112833403156,-1667,133.0,24.571428571428573,144.0,18.285714285714285,9552,0.5751675041876047,-4058,142.0,19.428571428571427,154.0,12.571428571428573
"Miami, FL",21-22,30441,32326,0.9416878054816556,-1885,168.0,4.571428571428571,134.0,24.0,32697,0.931002844297642,-2256,146.0,17.142857142857142,92.0,48.0,33395,0.9115436442581225,-2954,130.0,26.285714285714285,48.0,73.14285714285714
"Milwaukee, WI",21-22,26570,27368,0.9708418591055247,-798,153.0,13.142857142857142,121.0,31.428571428571427,26794,0.9916399193849369,-224,89.0,49.714285714285715,73.0,58.857142857142854,31304,0.8487733197035523,-4734,151.0,14.285714285714285,63.0,64.57142857142857
"Mobile, AL",21-22,4884,4613,1.0587470192933015,271,84.0,52.57142857142857,82.0,53.714285714285715,5516,0.8854242204496011,-632,110.0,37.714285714285715,106.0,40.0,6185,0.7896523848019402,-1301,88.0,50.28571428571429,92.0,48.0
"Monterey, CA",21-22,4110,3390,1.2123893805309736,720,49.0,72.57142857142857,30.0,83.42857142857143,4507,0.9119147992012425,-397,98.0,44.57142857142857,103.0,41.714285714285715,4390,0.9362186788154897,-280,43.0,76.0,40.0,77.71428571428571
"Nashville, TN",21-22,5212,4996,1.043234587670136,216,89.0,49.714285714285715,91.0,48.57142857142857,5045,1.0331020812685827,167,51.0,71.42857142857143,59.0,66.85714285714286,5219,0.9986587468863767,-7,31.0,82.85714285714286,31.0,82.85714285714286
"New Orleans, LA",21-22,23290,25258,0.9220840921688178,-1968,169.0,4.0,137.0,22.285714285714285,29213,0.7972478006367029,-5923,170.0,3.428571428571429,137.0,22.285714285714285,33947,0.686069461218959,-10657,166.0,5.714285714285714,125.0,29.142857142857142
"New Ulm, MN",21-22,1670,1977,0.8447142134547294,-307,131.0,25.71428571428571,151.0,14.285714285714285,2213,0.7546317216448261,-543,105.0,40.57142857142857,152.0,13.714285714285715,2236,0.7468694096601073,-566,58.0,67.42857142857143,110.0,37.714285714285715
"New York, NY",21-22,39031,40417,0.9657074993195932,-1386,162.0,8.0,125.0,29.142857142857142,47967,0.8137052556966248,-8936,173.0,1.7142857142857144,131.0,25.71428571428571,65500,0.5958931297709924,-26469,174.0,1.1428571428571428,148.0,16.0
"Newark, NJ",21-22,17082,19236,0.8880224578914535,-2154,170.0,3.428571428571429,143.0,18.857142857142858,23534,0.7258434605251975,-6452,172.0,2.2857142857142856,160.0,9.142857142857142,31959,0.5344973246972684,-14877,170.0,3.428571428571429,163.0,7.428571428571429
"Norwich, CT",21-22,3192,2368,1.347972972972973,824,43.0,76.0,12.0,93.71428571428572,2720,1.173529411764706,472,23.0,87.42857142857143,20.0,89.14285714285714,4871,0.6553069184972284,-1679,98.0,44.57142857142857,135.0,23.42857142857143
"Oakland, CA",21-22,14165,13805,1.0260775081492213,360,75.0,57.714285714285715,99.0,44.0,14308,0.9900055912776069,-143,82.0,53.714285714285715,75.0,57.714285714285715,16764,0.8449654020520162,-2599,120.0,32.0,65.0,63.42857142857142
"Ogdensburg, NY",21-22,1294,1187,1.0901432181971356,107,95.0,46.285714285714285,68.0,61.71428571428571,1714,0.7549591598599766,-420,102.0,42.285714285714285,151.0,14.285714285714285,2256,0.5735815602836879,-962,79.0,55.42857142857143,155.0,12.0
"Oklahoma City, OK",21-22,2383,3981,0.5985933182617433,-1598,165.0,6.2857142857142865,174.0,1.1428571428571428,4279,0.5569058191166161,-1896,137.0,22.285714285714285,174.0,1.1428571428571428,5233,0.45537932352379135,-2850,127.0,28.000000000000004,173.0,1.7142857142857144
"Omaha, NE",21-22,14878,13536,1.0991430260047281,1342,25.0,86.28571428571429,65.0,63.42857142857142,17619,0.8444293092684034,-2741,154.0,12.571428571428573,119.0,32.57142857142858,19184,0.7755421184320267,-4306,147.0,16.57142857142857,100.0,43.42857142857143
"Orange, CA",21-22,13208,12056,1.0955540809555409,1152,29.0,84.0,66.0,62.857142857142854,17311,0.7629830743457917,-4103,165.0,6.2857142857142865,147.0,16.57142857142857,19604,0.6737400530503979,-6396,156.0,11.428571428571429,130.0,26.285714285714285
"Orlando, FL",21-22,11913,13445,0.8860542952770547,-1532,164.0,6.857142857142858,145.0,17.71428571428571,13003,0.9161731908021226,-1090,124.0,29.714285714285715,95.0,46.285714285714285,13167,0.9047619047619048,-1254,85.0,52.0,50.0,72.0
"Owensboro, KY",21-22,3483,3344,1.041566985645933,139,91.0,48.57142857142857,94.0,46.85714285714286,3047,1.1430915654742368,436,30.0,83.42857142857143,26.0,85.71428571428571,4374,0.7962962962962963,-891,77.0,56.57142857142857,88.0,50.28571428571429
"Palm Beach, FL",21-22,5023,4000,1.25575,1023,31.0,82.85714285714286,24.0,86.85714285714286,4402,1.1410722398909587,621,21.0,88.57142857142857,27.0,85.14285714285714,5014,1.0017949740725967,9,30.0,83.42857142857143,30.0,83.42857142857143
"Paterson, NJ",21-22,6192,6854,0.9034140647796907,-662,148.0,16.0,139.0,21.142857142857142,6413,0.9655387494152503,-221,88.0,50.28571428571429,83.0,53.142857142857146,11421,0.5421591804570528,-5229,153.0,13.142857142857142,160.0,9.142857142857142
"Pensacola-Tallahassee, FL",21-22,3046,2720,1.1198529411764706,326,79.0,55.42857142857143,54.0,69.71428571428572,2784,1.0941091954022988,262,43.0,76.0,32.0,82.28571428571428,2493,1.2218210990774168,553,13.0,93.14285714285714,11.0,94.28571428571428
"Peoria, IL",21-22,9507,8903,1.0678423003481972,604,55.0,69.14285714285714,76.0,57.14285714285714,10181,0.9337982516452215,-674,115.0,34.85714285714286,91.0,48.57142857142857,10718,0.8870125023325247,-1211,83.0,53.142857142857146,59.0,66.85714285714286
"Philadelphia, PA",21-22,44957,47903,0.9385007202054151,-2946,173.0,1.7142857142857144,135.0,23.42857142857143,48013,0.9363505717201591,-3056,158.0,10.285714285714285,90.0,49.142857142857146,67346,0.6675526386125382,-22389,173.0,1.7142857142857144,133.0,24.571428571428573
"Phoenix, AZ",21-22,14420,11991,1.2025685931115002,2429,8.0,96.0,33.0,81.71428571428572,13115,1.0995043842927945,1305,9.0,95.42857142857143,31.0,82.85714285714286,13978,1.0316211189011304,442,15.0,92.0,27.0,85.14285714285714
"Pittsburgh, PA",21-22,10374,12962,0.8003394537879956,-2588,171.0,2.857142857142857,162.0,8.0,12620,0.8220285261489699,-2246,145.0,17.71428571428571,128.0,27.42857142857143,17002,0.6101635101752735,-6628,158.0,10.285714285714285,146.0,17.142857142857142
"Portland, ME",21-22,2363,2013,1.1738698460009935,350,77.0,56.57142857142857,41.0,77.14285714285715,2279,1.0368582711715664,84,63.0,64.57142857142857,56.0,68.57142857142857,3160,0.7477848101265823,-797,73.0,58.857142857142854,109.0,38.285714285714285
"Portland, OR",21-22,11714,11643,1.0060980846860774,71,98.0,44.57142857142857,107.0,39.42857142857143,12324,0.9505030834144759,-610,108.0,38.857142857142854,86.0,51.42857142857142,14339,0.8169328405049167,-2625,121.0,31.428571428571427,81.0,54.285714285714285
"Providence, RI",21-22,9058,7700,1.1763636363636363,1358,24.0,86.85714285714286,40.0,77.71428571428571,8957,1.0112760969074468,101,61.0,65.71428571428571,66.0,62.857142857142854,14112,0.6418650793650794,-5054,152.0,13.714285714285715,137.0,22.285714285714285
"Pueblo, CO",21-22,1046,918,1.1394335511982572,128,92.0,48.0,51.0,71.42857142857143,1136,0.920774647887324,-90,77.0,56.57142857142857,94.0,46.85714285714286,971,1.0772399588053554,75,28.0,84.57142857142857,20.0,89.14285714285714
"Raleigh, NC",21-22,8425,6472,1.301761433868974,1953,13.0,93.14285714285714,15.0,92.0,5789,1.4553463465192606,2636,2.0,99.42857142857143,6.0,97.14285714285714,8290,1.0162846803377563,135,25.0,86.28571428571429,29.0,84.0
"Rapid City, SD",21-22,1155,1069,1.0804490177736201,86,96.0,45.714285714285715,71.0,60.0,1477,0.7819905213270142,-322,92.0,48.0,139.0,21.142857142857142,1440,0.8020833333333334,-285,44.0,75.42857142857143,84.0,52.57142857142857
"Reno, NV",21-22,1879,1768,1.0627828054298643,111,93.0,47.42857142857143,80.0,54.85714285714286,1743,1.0780263912794033,136,55.0,69.14285714285714,39.0,78.28571428571428,1802,1.0427302996670367,77,27.0,85.14285714285714,24.0,86.85714285714286
"Richmond, VA",21-22,9202,7384,1.2462080173347778,1818,14.0,92.57142857142857,25.0,86.28571428571429,8749,1.051777345982398,453,28.0,84.57142857142857,49.0,72.57142857142857,9248,0.9950259515570934,-46,34.0,81.14285714285714,33.0,81.71428571428572
"Rochester, NY",21-22,5845,5471,1.0683604459879363,374,72.0,59.42857142857143,75.0,57.714285714285715,5575,1.0484304932735427,270,40.0,77.71428571428571,51.0,71.42857142857143,8171,0.715334720352466,-2326,115.0,34.85714285714286,119.0,32.57142857142858
"Rockford, IL",21-22,7467,8863,0.8424912557824664,-1396,163.0,7.428571428571429,153.0,13.142857142857142,11354,0.6576536903293994,-3887,164.0,6.857142857142858,167.0,5.142857142857142,14027,0.5323305054537677,-6560,157.0,10.857142857142858,164.0,6.857142857142858
"Rockville Centre, NY",21-22,15106,16946,0.8914198040835596,-1840,166.0,5.714285714285714,142.0,19.428571428571427,20267,0.745349583066068,-5161,169.0,4.0,156.0,11.428571428571429,28963,0.5215619928874772,-13857,168.0,4.571428571428571,166.0,5.714285714285714
"Sacramento, CA",21-22,11599,11320,1.0246466431095407,279,82.0,53.714285714285715,101.0,42.857142857142854,11972,0.9688439692616104,-373,96.0,45.714285714285715,82.0,53.714285714285715,13845,0.8377753701697364,-2246,112.0,36.57142857142857,67.0,62.28571428571429
"Saginaw, MI",21-22,1961,1882,1.0419766206163656,79,97.0,45.14285714285714,93.0,47.42857142857143,1917,1.0229525299947835,44,65.0,63.42857142857142,61.0,65.71428571428571,3336,0.5878297362110312,-1375,90.0,49.142857142857146,152.0,13.714285714285715
"Salina, KS",21-22,2036,2267,0.898103220114689,-231,125.0,29.142857142857142,140.0,20.57142857142857,1924,1.0582120582120582,112,58.0,67.42857142857143,47.0,73.71428571428571,2547,0.7993718099725167,-511,56.0,68.57142857142857,86.0,51.42857142857142
"Salt Lake, UT",21-22,3194,4000,0.7985,-806,155.0,12.0,163.0,7.428571428571429,5102,0.6260290082320659,-1908,138.0,21.714285714285715,169.0,4.0,5578,0.5726066690570096,-2384,116.0,34.285714285714285,156.0,11.428571428571429
"San Angelo, TX",21-22,794,886,0.8961625282167043,-92,117.0,33.714285714285715,141.0,20.0,900,0.8822222222222222,-106,78.0,56.00000000000001,107.0,39.42857142857143,654,1.2140672782874617,140,24.0,86.85714285714286,12.0,93.71428571428572
"San Antonio, TX",21-22,8520,7428,1.1470113085621971,1092,30.0,83.42857142857143,49.0,72.57142857142857,8118,1.049519586104952,402,34.0,81.14285714285714,50.0,72.0,12590,0.6767275615567911,-4070,143.0,18.857142857142858,128.0,27.42857142857143
"San Bernardino, CA",21-22,5335,6014,0.8870967741935484,-679,150.0,14.857142857142858,144.0,18.285714285714285,7887,0.6764295676429568,-2552,152.0,13.714285714285715,166.0,5.714285714285714,7300,0.7308219178082191,-1965,107.0,39.42857142857143,116.0,34.285714285714285
"San Diego, CA",21-22,13490,11197,1.2047869965169242,2293,10.0,94.85714285714286,32.0,82.28571428571428,13068,1.0322926232017142,422,32.0,82.28571428571428,60.0,66.28571428571428,16437,0.8207093751901199,-2947,129.0,26.857142857142858,78.0,56.00000000000001
"San Francisco, CA",21-22,18296,16601,1.1021022829950002,1695,15.0,92.0,63.0,64.57142857142857,22642,0.8080558254571151,-4346,166.0,5.714285714285714,132.0,25.142857142857146,24023,0.7616034633476252,-5727,154.0,12.571428571428573,104.0,41.14285714285714
"San Jose, CA",21-22,14217,14376,0.9889398998330551,-159,120.0,32.0,112.0,36.57142857142857,13057,1.0888412345868117,1160,11.0,94.28571428571428,36.0,80.0,14848,0.9575026939655172,-631,64.0,64.0,35.0,80.57142857142857
"Santa Fe, NM",21-22,3330,3113,1.069707677481529,217,87.0,50.857142857142854,74.0,58.285714285714285,2854,1.1667834618079889,476,22.0,88.0,22.0,88.0,5273,0.6315190593589987,-1943,105.0,40.57142857142857,141.0,20.0
"Santa Rosa, CA",21-22,3531,5384,0.6558320950965825,-1853,167.0,5.142857142857142,172.0,2.2857142857142856,5932,0.5952461227242077,-2401,149.0,15.428571428571427,171.0,2.857142857142857,3950,0.8939240506329114,-419,51.0,71.42857142857143,56.0,68.57142857142857
"Savannah, GA",21-22,4824,3597,1.3411175979983319,1227,26.0,85.71428571428571,13.0,93.14285714285714,3815,1.2644823066841415,1009,15.0,92.0,16.0,91.42857142857143,4505,1.0708102108768036,319,18.0,90.28571428571428,22.0,88.0
"Scranton, PA",21-22,5541,5433,1.0198785201546108,108,94.0,46.85714285714286,103.0,41.714285714285715,5896,0.9397896879240163,-355,95.0,46.285714285714285,88.0,50.28571428571429,5950,0.9312605042016807,-409,50.0,72.0,42.0,76.57142857142857
"Seattle, WA",21-22,16735,14679,1.1400640370597452,2056,11.0,94.28571428571428,50.0,72.0,16774,0.9976749731727674,-39,74.0,58.285714285714285,70.0,60.57142857142858,20295,0.8245873367824588,-3560,134.0,24.0,77.0,56.57142857142857
"Shreveport, LA",21-22,1623,1683,0.964349376114082,-60,115.0,34.85714285714286,126.0,28.57142857142857,1508,1.0762599469496021,115,57.0,68.0,41.0,77.14285714285715,1981,0.8192831903079253,-358,49.0,72.57142857142857,79.0,55.42857142857143
"Sioux City, IA",21-22,7010,6619,1.0590723674271039,391,66.0,62.857142857142854,81.0,54.285714285714285,5974,1.173418145296284,1036,13.0,93.14285714285714,21.0,88.57142857142857,6073,1.1542894780174544,937,6.0,97.14285714285714,15.0,92.0
"Sioux Falls, SD",21-22,5913,4348,1.359935602575897,1565,17.0,90.85714285714286,10.0,94.85714285714286,4196,1.4091992373689228,1717,6.0,97.14285714285714,7.0,96.57142857142857,5285,1.1188268684957428,628,11.0,94.28571428571428,18.0,90.28571428571428
"Spokane, WA",21-22,4498,3527,1.2753047916075986,971,36.0,80.0,21.0,88.57142857142857,4480,1.004017857142857,18,68.0,61.71428571428571,68.0,61.71428571428571,4587,0.9805973403095706,-89,36.0,80.0,34.0,81.14285714285714
"Springfield, IL",21-22,7888,8311,0.9491035976416797,-423,141.0,20.0,131.0,25.71428571428571,9837,0.8018704889702145,-1949,140.0,20.57142857142857,136.0,22.857142857142858,10103,0.7807581906364446,-2215,111.0,37.142857142857146,96.0,45.714285714285715
"Springfield, MA",21-22,2913,2536,1.148659305993691,377,70.0,60.57142857142858,48.0,73.14285714285714,2951,0.9871230091494408,-38,73.0,58.857142857142854,76.0,57.14285714285714,4212,0.6915954415954416,-1299,87.0,50.857142857142854,123.0,30.28571428571429
"Springfield-Cape Girardeau, MO",21-22,3809,3087,1.2338840298023972,722,48.0,73.14285714285714,27.0,85.14285714285714,3493,1.090466647580876,316,37.0,79.42857142857143,33.0,81.71428571428572,4549,0.8373268850296769,-740,70.0,60.57142857142858,69.0,61.142857142857146
"St. Augustine, FL",21-22,8529,7072,1.2060237556561086,1457,19.0,89.71428571428571,31.0,82.85714285714286,10236,0.8332356389214537,-1707,135.0,23.42857142857143,124.0,29.714285714285715,10210,0.8353574926542605,-1681,99.0,44.0,70.0,60.57142857142858
"St. Cloud, MN",21-22,4653,4868,0.9558340180772391,-215,124.0,29.714285714285715,128.0,27.42857142857143,4769,0.9756762423988258,-116,81.0,54.285714285714285,81.0,54.285714285714285,5554,0.8377745768815268,-901,78.0,56.00000000000001,68.0,61.71428571428571
"St. Louis, MO",21-22,30144,29380,1.026004084411164,764,47.0,73.71428571428571,100.0,43.42857142857143,32103,0.9389776656387253,-1959,141.0,20.0,89.0,49.714285714285715,41476,0.726781753303115,-11332,167.0,5.142857142857142,117.0,33.714285714285715
"St. Paul-Minneapolis, MN",21-22,24543,17458,1.4058311375873525,7085,1.0,100.0,9.0,95.42857142857143,24154,1.0161049929618282,389,35.0,80.57142857142857,65.0,63.42857142857142,30580,0.8025833878351863,-6037,155.0,12.0,83.0,53.142857142857146
"St. Petersburg, FL",21-22,12790,11102,1.1520446766348407,1688,16.0,91.42857142857143,47.0,73.71428571428571,10433,1.2259177609508292,2357,3.0,98.85714285714286,18.0,90.28571428571428,11275,1.1343680709534367,1515,3.0,98.85714285714286,16.0,91.42857142857143
"Steubenville, OH",21-22,1278,1619,0.7893761581222977,-341,137.0,22.285714285714285,166.0,5.714285714285714,1455,0.8783505154639175,-177,86.0,51.42857142857142,108.0,38.857142857142854,2154,0.5933147632311978,-876,76.0,57.14285714285714,150.0,14.857142857142858
"Stockton, CA",21-22,3850,3009,1.2794948487869724,841,40.0,77.71428571428571,19.0,89.71428571428571,3606,1.0676650027731558,244,44.0,75.42857142857143,43.0,76.0,4081,0.9433962264150944,-231,41.0,77.14285714285715,37.0,79.42857142857143
"Superior, WI",21-22,1641,1605,1.0224299065420561,36,104.0,41.14285714285714,102.0,42.285714285714285,1657,0.9903439951719976,-16,71.0,60.0,74.0,58.285714285714285,2425,0.6767010309278351,-784,72.0,59.42857142857143,129.0,26.857142857142858
"Syracuse, NY",21-22,3430,4304,0.7969330855018587,-874,156.0,11.428571428571429,164.0,6.857142857142858,3836,0.8941605839416058,-406,101.0,42.857142857142854,104.0,41.14285714285714,6217,0.5517130448769503,-2787,125.0,29.142857142857142,158.0,10.285714285714285
"Toledo, OH",21-22,14886,15212,0.9785695503549829,-326,134.0,24.0,116.0,34.285714285714285,15716,0.9471875795367778,-830,119.0,32.57142857142858,87.0,50.857142857142854,19049,0.7814583442700405,-4163,144.0,18.285714285714285,95.0,46.285714285714285
"Trenton, NJ",21-22,9802,11117,0.8817126922730952,-1315,161.0,8.571428571428571,149.0,15.428571428571427,12766,0.7678207739307535,-2964,157.0,10.857142857142858,143.0,18.857142857142858,19180,0.5110531803962461,-9378,164.0,6.857142857142858,168.0,4.571428571428571
"Tucson, AZ",21-22,5841,4638,1.259379042690815,1203,28.0,84.57142857142857,23.0,87.42857142857143,5372,1.0873045420699925,469,24.0,86.85714285714286,37.0,79.42857142857143,6126,0.9534769833496572,-285,44.0,75.42857142857143,36.0,80.0
"Tulsa, OK",21-22,3558,3691,0.9639664047683555,-133,118.0,33.14285714285714,127.0,28.000000000000004,4094,0.8690766976062531,-536,104.0,41.14285714285714,111.0,37.142857142857146,4587,0.7756703727926749,-1029,81.0,54.285714285714285,99.0,44.0
"Tyler, TX",21-22,484,267,1.8127340823970037,217,87.0,50.857142857142854,4.0,98.28571428571429,289,1.6747404844290656,195,49.0,72.57142857142857,4.0,98.28571428571429,1078,0.4489795918367347,-594,61.0,65.71428571428571,174.0,1.1428571428571428
"Venice, FL",21-22,4250,4308,0.9865366759517178,-58,114.0,35.42857142857142,114.0,35.42857142857142,4647,0.9145685388422639,-397,98.0,44.57142857142857,100.0,43.42857142857143,4745,0.8956796628029505,-495,53.0,70.28571428571428,55.0,69.14285714285714
"Victoria, TX",21-22,2674,2319,1.1530832255282448,355,76.0,57.14285714285714,46.0,74.28571428571429,2569,1.0408719346049047,105,59.0,66.85714285714286,53.0,70.28571428571428,2852,0.9375876577840112,-178,40.0,77.71428571428571,39.0,78.28571428571428
"Washington, DC",21-22,24527,23510,1.0432581880051042,1017,32.0,82.28571428571428,90.0,49.142857142857146,23254,1.054743269975058,1273,10.0,94.85714285714286,48.0,73.14285714285714,26380,0.9297573919636088,-1853,104.0,41.14285714285714,43.0,76.0
"Wheeling-Charleston, WV",21-22,4115,4394,0.9365043240782885,-279,130.0,26.285714285714285,136.0,22.857142857142858,4935,0.8338399189463019,-820,117.0,33.714285714285715,123.0,30.28571428571429,5514,0.7462821907870875,-1399,91.0,48.57142857142857,111.0,37.142857142857146
"Wichita, KS",21-22,6936,9786,0.7087676272225628,-2850,172.0,2.2857142857142856,169.0,4.0,9025,0.7685318559556786,-2089,144.0,18.285714285714285,142.0,19.428571428571427,10295,0.6737251092763478,-3359,133.0,24.571428571428573,131.0,25.71428571428571
"Wilmington, DE",21-22,6372,6320,1.0082278481012659,52,103.0,41.714285714285715,106.0,40.0,7608,0.8375394321766562,-1236,125.0,29.142857142857142,122.0,30.857142857142854,11064,0.5759219088937093,-4692,150.0,14.857142857142858,153.0,13.142857142857142
"Winona, MN",21-22,4315,3971,1.0866280533870563,344,78.0,56.00000000000001,69.0,61.142857142857146,4330,0.9965357967667436,-15,70.0,60.57142857142858,71.0,60.0,5065,0.8519249753208292,-750,71.0,60.0,62.0,65.14285714285715
"Worcester, MA",21-22,4057,5164,0.7856312935708752,-1107,159.0,9.714285714285714,167.0,5.142857142857142,5330,0.7611632270168855,-1273,126.0,28.57142857142857,149.0,15.428571428571427,7732,0.5247025349198138,-3675,137.0,22.285714285714285,165.0,6.2857142857142865
"Yakima, WA",21-22,1694,1734,0.9769319492502884,-40,111.0,37.142857142857146,117.0,33.714285714285715,1593,1.0634023854362837,101,61.0,65.71428571428571,45.0,74.85714285714286,998,1.6973947895791583,696,10.0,94.85714285714286,4.0,98.28571428571429
"Youngstown, OH",21-22,6645,6066,1.0954500494559842,579,57.0,68.0,67.0,62.28571428571429,7261,0.9151632006610659,-616,109.0,38.285714285714285,99.0,44.0,8051,0.825363308905726,-1406,92.0,48.0,76.0,57.14285714285714
