Diocese,School Year,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Albany, NY",21-22,3956,4164,-4.995196926032664,-208,123.0,30.28571428571429,130.0,26.285714285714285,5298,-25.330313325783315,-1342,127.0,28.000000000000004,155.0,12.0,6478,-38.93176906452609,-2522,118.0,33.14285714285714,145.0,17.71428571428571
"Alexandria, LA",21-22,1963,2275,-13.714285714285712,-312,132.0,25.142857142857146,150.0,14.857142857142858,2635,-25.502846299810244,-672,114.0,35.42857142857142,157.0,10.857142857142858,2522,-22.164948453608247,-559,57.0,68.0,98.0,44.57142857142857
"Allentown, PA",21-22,7098,10267,-30.865880977890324,-3169,175.0,0.5714285714285714,170.0,3.428571428571429,10254,-30.778232884727906,-3156,161.0,8.571428571428571,165.0,6.2857142857142865,11120,-36.16906474820144,-4022,141.0,20.0,139.0,21.142857142857142
"Altoona-Johnstown, PA",21-22,3104,2094,48.23304680038205,1010,33.0,81.71428571428572,7.0,96.57142857142857,3403,-8.78636497208346,-299,91.0,48.57142857142857,102.0,42.285714285714285,4271,-27.323811753687664,-1167,82.0,53.714285714285715,118.0,33.14285714285714
"Amarillo, TX",21-22,535,795,-32.704402515723274,-260,127.0,28.000000000000004,171.0,2.857142857142857,864,-38.07870370370371,-329,93.0,47.42857142857143,170.0,3.428571428571429,670,-20.149253731343286,-135,37.0,79.42857142857143,87.0,50.857142857142854
"Anchorage, AK",21-22,451,435,3.67816091954023,16,107.0,39.42857142857143,95.0,46.285714285714285,517,-12.765957446808507,-66,76.0,57.14285714285714,110.0,37.714285714285715,481,-6.237006237006238,-30,33.0,81.71428571428572,38.0,78.85714285714286
"Arlington, VA",21-22,16889,13786,22.508341796024943,3103,3.0,98.85714285714286,28.0,84.57142857142857,14539,16.1634225187427,2350,4.0,98.28571428571429,23.0,87.42857142857143,16283,3.7216729103973556,606,12.0,93.71428571428572,25.0,86.28571428571429
"Atlanta, GA",21-22,9437,9768,-3.388615888615887,-331,135.0,23.42857142857143,124.0,29.714285714285715,11727,-19.527585912850686,-2290,147.0,16.57142857142857,135.0,23.42857142857143,11853,-20.38302539441491,-2416,117.0,33.714285714285715,89.0,49.714285714285715
"Austin, TX",21-22,5523,4999,10.48209641928386,524,60.0,66.28571428571428,61.0,65.71428571428571,5633,-1.952778270903599,-110,80.0,54.85714285714286,79.0,55.42857142857143,5150,7.242718446601937,373,16.0,91.42857142857143,21.0,88.57142857142857
"Baker, OR",21-22,554,531,4.331450094161959,23,106.0,40.0,89.0,49.714285714285715,259,113.89961389961391,295,39.0,78.28571428571428,1.0,100.0,232,138.79310344827584,322,17.0,90.85714285714286,2.0,99.42857142857143
"Baltimore, MD",21-22,24774,23562,5.143875732111036,1212,27.0,85.14285714285714,83.0,53.142857142857146,25163,-1.5459205977029766,-389,97.0,45.14285714285714,77.0,56.57142857142857,27543,-10.053371092473585,-2769,124.0,29.714285714285715,52.0,70.85714285714285
"Baton Rouge, LA",21-22,10383,8990,15.494994438264742,1393,21.0,88.57142857142857,45.0,74.85714285714286,13498,-23.07749296192029,-3115,160.0,9.142857142857142,141.0,20.0,12521,-17.07531347336475,-2138,110.0,37.714285714285715,75.0,57.714285714285715
"Beaumont, TX",21-22,1123,1383,-18.7997107736804,-260,127.0,28.000000000000004,161.0,8.571428571428571,1467,-23.4492160872529,-344,94.0,46.85714285714286,145.0,17.71428571428571,1426,-21.248246844319773,-303,47.0,73.71428571428571,93.0,47.42857142857143
"Belleville, IL",21-22,5175,4797,7.879924953095685,378,69.0,61.142857142857146,73.0,58.857142857142854,4939,4.778295201457783,236,46.0,74.28571428571429,52.0,70.85714285714285,5790,-10.621761658031092,-615,62.0,65.14285714285715,57.0,68.0
"Biloxi, MS",21-22,4331,4063,6.596111247846426,268,85.0,52.0,78.0,56.00000000000001,3494,23.955352032054943,837,17.0,90.85714285714286,17.0,90.85714285714286,4056,6.780078895463504,275,19.0,89.71428571428571,23.0,87.42857142857143
"Birmingham, AL",21-22,4290,4221,1.6346837242359635,69,99.0,44.0,105.0,40.57142857142857,5112,-16.079812206572775,-822,118.0,33.14285714285714,121.0,31.428571428571427,5768,-25.624133148404994,-1478,95.0,46.285714285714285,113.0,36.0
"Bismarck, ND",21-22,4762,2774,71.66546503244413,1988,12.0,93.71428571428572,5.0,97.71428571428571,2769,71.97544239797762,1993,5.0,97.71428571428571,2.0,99.42857142857143,2789,70.7422015059161,1973,2.0,99.42857142857143,3.0,98.85714285714286
"Boise, ID",21-22,4138,3764,9.936238044633372,374,72.0,59.42857142857143,64.0,64.0,3493,18.465502433438296,645,19.0,89.71428571428571,19.0,89.71428571428571,3137,31.909467644246092,1001,5.0,97.71428571428571,10.0,94.85714285714286
"Boston, MA",21-22,26109,26810,-2.614696008951889,-701,151.0,14.285714285714285,119.0,32.57142857142858,30505,-14.410752335682675,-4396,167.0,5.142857142857142,115.0,34.85714285714286,40908,-36.17629803461425,-14799,169.0,4.0,140.0,20.57142857142857
"Bridgeport, CT",21-22,7394,6622,11.658109332527932,772,45.0,74.85714285714286,56.0,68.57142857142857,7550,-2.0662251655629182,-156,83.0,53.142857142857146,80.0,54.85714285714286,11038,-33.013227033882956,-3644,136.0,22.857142857142858,132.0,25.142857142857146
"Brooklyn, NY",21-22,25778,24965,3.256559182855989,813,44.0,75.42857142857143,98.0,44.57142857142857,32013,-19.47646268703339,-6235,171.0,2.857142857142857,134.0,24.0,41152,-37.35905909797823,-15374,171.0,2.857142857142857,142.0,19.428571428571427
"Brownsville, TX",21-22,1365,2085,-34.53237410071942,-720,152.0,13.714285714285715,173.0,1.7142857142857144,2411,-43.3844877644131,-1046,123.0,30.28571428571429,173.0,1.7142857142857144,4211,-67.58489669912136,-2846,126.0,28.57142857142857,175.0,0.5714285714285714
"Buffalo, NY",21-22,8198,5710,43.572679509632216,2488,6.0,97.14285714285714,8.0,96.0,10725,-23.56177156177156,-2527,150.0,14.857142857142858,146.0,17.142857142857142,15293,-46.393774929706396,-7095,161.0,8.571428571428571,162.0,8.0
"Burlington, VT",21-22,1460,1795,-18.66295264623955,-335,136.0,22.857142857142858,160.0,9.142857142857142,1865,-21.715817694369978,-405,100.0,43.42857142857143,138.0,21.714285714285715,2043,-28.536465981399907,-583,60.0,66.28571428571428,120.0,32.0
"Camden, NJ",21-22,8921,8614,3.563965637334565,307,81.0,54.285714285714285,96.0,45.714285714285715,10841,-17.71054330781293,-1920,139.0,21.142857142857142,127.0,28.000000000000004,15774,-43.44490934449093,-6853,159.0,9.714285714285714,157.0,10.857142857142858
"Charleston, SC",21-22,5666,5424,4.46165191740413,242,86.0,51.42857142857142,87.0,50.857142857142854,6189,-8.450476652124738,-523,103.0,41.714285714285715,96.0,45.714285714285715,6283,-9.820149610058893,-617,63.0,64.57142857142857,51.0,71.42857142857143
"Charlotte, NC",21-22,6327,4957,27.637684083114777,1370,23.0,87.42857142857143,20.0,89.14285714285714,6117,3.4330554193231944,210,48.0,73.14285714285714,58.0,67.42857142857143,7801,-18.895013459812848,-1474,94.0,46.85714285714286,82.0,53.714285714285715
"Cheyenne, WY",21-22,513,935,-45.13368983957219,-422,140.0,20.57142857142857,175.0,0.5714285714285714,678,-24.336283185840713,-165,84.0,52.57142857142857,150.0,14.857142857142858,990,-48.18181818181818,-477,52.0,70.85714285714285,167.0,5.142857142857142
"Chicago, IL",21-22,50439,51084,-1.2626262626262652,-645,146.0,17.142857142857142,113.0,36.0,60878,-17.147409573244854,-10439,175.0,0.5714285714285714,126.0,28.57142857142857,84683,-40.43786828525205,-34244,175.0,0.5714285714285714,149.0,15.428571428571427
"Cincinnati, OH",21-22,34677,31203,11.13354485145659,3474,2.0,99.42857142857143,58.0,67.42857142857143,37888,-8.474978885135132,-3211,162.0,8.0,98.0,44.57142857142857,41773,-16.9870490508223,-7096,162.0,8.0,73.0,58.857142857142854
"Cleveland, OH",21-22,33192,30100,10.272425249169427,3092,4.0,98.28571428571429,62.0,65.14285714285715,34894,-4.877629391872529,-1702,134.0,24.0,85.0,52.0,42921,-22.667225833508077,-9729,165.0,6.2857142857142865,102.0,42.285714285714285
"Colorado Springs, CO",21-22,1640,1952,-15.983606557377051,-312,132.0,25.142857142857146,154.0,12.571428571428573,1891,-13.273400317292438,-251,90.0,49.142857142857146,112.0,36.57142857142857,1587,3.339634530560809,53,29.0,84.0,26.0,85.71428571428571
"Columbus, OH",21-22,13507,12671,6.597742877436663,836,41.0,77.14285714285715,77.0,56.57142857142857,13210,2.2482967448902436,297,38.0,78.85714285714286,62.0,65.14285714285715,17074,-20.891413845613215,-3567,135.0,23.42857142857143,91.0,48.57142857142857
"Corpus Christi, TX",21-22,1766,2166,-18.467220683287167,-400,138.0,21.714285714285715,159.0,9.714285714285714,2469,-28.473066018631023,-703,116.0,34.285714285714285,161.0,8.571428571428571,3602,-50.971682398667404,-1836,103.0,41.714285714285715,169.0,4.0
"Covington, KY",21-22,8295,7918,4.76130335943421,377,70.0,60.57142857142858,86.0,51.42857142857142,8932,-7.131661442006266,-637,111.0,37.142857142857146,93.0,47.42857142857143,9643,-13.979052162190186,-1348,89.0,49.714285714285715,61.0,65.71428571428571
"Crookston, MN",21-22,1446,1380,4.7826086956521685,66,100.0,43.42857142857143,85.0,52.0,1327,8.967596081386597,119,56.0,68.57142857142857,34.0,81.14285714285714,1315,9.961977186311778,131,26.0,85.71428571428571,19.0,89.71428571428571
"Dallas, TX",21-22,11598,11038,5.073382859213615,560,59.0,66.85714285714286,84.0,52.57142857142857,14145,-18.006362672322375,-2547,151.0,14.285714285714285,129.0,26.857142857142858,13902,-16.573154941735,-2304,114.0,35.42857142857142,72.0,59.42857142857143
"Davenport, IA",21-22,5583,5141,8.59754911495818,442,64.0,64.0,70.0,60.57142857142858,5125,8.936585365853666,458,27.0,85.14285714285714,35.0,80.57142857142857,4785,16.677115987460823,798,9.0,95.42857142857143,13.0,93.14285714285714
"Denver, CO",21-22,11608,11136,4.238505747126431,472,62.0,65.14285714285715,92.0,48.0,10278,12.940260751118892,1330,8.0,96.0,29.0,84.0,14593,-20.455012677311036,-2985,131.0,25.71428571428571,90.0,49.142857142857146
"Des Moines, IA",21-22,6109,5157,18.460345161915836,952,37.0,79.42857142857143,37.0,79.42857142857143,5390,13.339517625231911,719,18.0,90.28571428571428,28.0,84.57142857142857,5953,2.6205274651436294,156,22.0,88.0,28.0,84.57142857142857
"Detroit, MI",21-22,24018,21261,12.967405107944119,2757,5.0,97.71428571428571,53.0,70.28571428571428,26328,-8.773928896991801,-2310,148.0,16.0,101.0,42.857142857142854,28620,-16.079664570230612,-4602,149.0,15.428571428571427,66.0,62.857142857142854
"Dodge City, KS",21-22,704,558,26.164874551971316,146,90.0,49.142857142857146,22.0,88.0,544,29.41176470588236,160,52.0,70.85714285714285,15.0,92.0,994,-29.175050301810867,-290,46.0,74.28571428571429,121.0,31.428571428571427
"Dubuque, IA",21-22,8345,8751,-4.6394697748828655,-406,139.0,21.142857142857142,129.0,26.857142857142858,11788,-29.207668815744825,-3443,163.0,7.428571428571429,162.0,8.0,12283,-32.060571521615245,-3938,140.0,20.57142857142857,126.0,28.57142857142857
"Duluth, MN",21-22,1204,925,30.162162162162165,279,82.0,53.714285714285715,16.0,91.42857142857143,1052,14.448669201520904,152,53.0,70.28571428571428,25.0,86.28571428571429,1470,-18.0952380952381,-266,42.0,76.57142857142857,80.0,54.85714285714286
"El Paso, TX",21-22,2013,2283,-11.826544021024965,-270,129.0,26.857142857142858,148.0,16.0,2855,-29.492119089316994,-842,120.0,32.0,163.0,7.428571428571429,4115,-51.08140947752127,-2102,109.0,38.285714285714285,170.0,3.428571428571429
"Erie, PA",21-22,5400,4567,18.23954455879133,833,42.0,76.57142857142857,39.0,78.28571428571428,5296,1.9637462235649439,104,60.0,66.28571428571428,63.0,64.57142857142857,7363,-26.66032867037892,-1963,106.0,40.0,115.0,34.85714285714286
"Evansville, IN",21-22,6169,6214,-0.7241712262632816,-45,112.0,36.57142857142857,111.0,37.142857142857146,6740,-8.47181008902077,-571,107.0,39.42857142857143,97.0,45.14285714285714,6670,-7.511244377811099,-501,55.0,69.14285714285714,44.0,75.42857142857143
"Fairbanks, AK",21-22,686,372,84.40860215053763,314,80.0,54.85714285714286,3.0,98.85714285714286,420,63.33333333333333,266,41.0,77.14285714285715,5.0,97.71428571428571,491,39.71486761710794,195,21.0,88.57142857142857,9.0,95.42857142857143
"Fall River, MA",21-22,5132,4751,8.019364344348556,381,67.0,62.28571428571429,72.0,59.42857142857143,5140,-0.15564202334630295,-8,69.0,61.142857142857146,69.0,61.142857142857146,6582,-22.02977818292312,-1450,93.0,47.42857142857143,97.0,45.14285714285714
"Fargo, ND",21-22,2649,2808,-5.6623931623931645,-159,120.0,32.0,133.0,24.571428571428573,1573,68.4043229497775,1076,12.0,93.71428571428572,3.0,98.85714285714286,1794,47.65886287625418,855,7.0,96.57142857142857,5.0,97.71428571428571
"Fresno, CA",21-22,3377,4045,-16.514215080346105,-668,149.0,15.428571428571427,156.0,11.428571428571429,4858,-30.48579662412515,-1481,129.0,26.857142857142858,164.0,6.857142857142858,6132,-44.92824527071102,-2755,123.0,30.28571428571429,159.0,9.714285714285714
"Ft. Wayne-South Bend, IN",21-22,12073,12058,0.12439873942611257,15,108.0,38.857142857142854,109.0,38.285714285714285,13572,-11.044798113763632,-1499,130.0,26.285714285714285,105.0,40.57142857142857,13680,-11.747076023391811,-1607,97.0,45.14285714285714,60.0,66.28571428571428
"Ft. Worth, TX",21-22,3699,3777,-2.065131056393965,-78,116.0,34.285714285714285,115.0,34.85714285714286,4338,-14.730290456431538,-639,113.0,36.0,116.0,34.285714285714285,5776,-35.95914127423823,-2077,108.0,38.857142857142854,138.0,21.714285714285715
"Gallup, NM",21-22,618,552,11.956521739130444,66,100.0,43.42857142857143,55.0,69.14285714285714,794,-22.166246851385385,-176,85.0,52.0,140.0,20.57142857142857,1295,-52.27799227799228,-677,66.0,62.857142857142854,171.0,2.857142857142857
"Galveston-Houston, TX",21-22,13623,16582,-17.844650826197082,-2959,174.0,1.1428571428571428,158.0,10.285714285714285,18734,-27.281947261663287,-5111,168.0,4.571428571428571,159.0,9.714285714285714,17888,-23.84279964221825,-4265,146.0,17.142857142857142,105.0,40.57142857142857
"Gary, IN",21-22,5830,4289,35.929121007227785,1541,18.0,90.28571428571428,11.0,94.28571428571428,4284,36.087768440709624,1546,7.0,96.57142857142857,9.0,95.42857142857143,6541,-10.86989756917902,-711,68.0,61.71428571428571,58.0,67.42857142857143
"Gaylord, MI",21-22,1678,2327,-27.8899871078642,-649,147.0,16.57142857142857,168.0,4.571428571428571,2648,-36.631419939577036,-970,122.0,30.857142857142854,168.0,4.571428571428571,2521,-33.439111463704876,-843,74.0,58.285714285714285,134.0,24.0
"Grand Island, NE",21-22,1777,1717,3.4944670937681943,60,102.0,42.285714285714285,97.0,45.14285714285714,1549,14.719173660426076,228,47.0,73.71428571428571,24.0,86.85714285714286,1244,42.84565916398715,533,14.0,92.57142857142857,7.0,96.57142857142857
"Grand Rapids, MI",21-22,6009,4631,29.75599222630101,1378,22.0,88.0,18.0,90.28571428571428,5576,7.765423242467717,433,31.0,82.85714285714286,40.0,77.71428571428571,6702,-10.340196956132496,-693,67.0,62.28571428571429,53.0,70.28571428571428
"Great Falls-Billings, MT",21-22,1918,975,96.71794871794872,943,38.0,78.85714285714286,2.0,99.42857142857143,1457,31.640356897735078,461,25.0,86.28571428571429,11.0,94.28571428571428,2572,-25.427682737169523,-654,65.0,63.42857142857142,112.0,36.57142857142857
"Green Bay, WI",21-22,15191,12704,19.57651133501259,2487,7.0,96.57142857142857,34.0,81.14285714285714,11589,31.081197687462247,3602,1.0,100.0,12.0,93.71428571428572,10639,42.78597612557571,4552,1.0,100.0,8.0,96.0
"Greensburg, PA",21-22,2722,2089,30.30157970320728,633,52.0,70.85714285714285,14.0,92.57142857142857,2090,30.239234449760755,632,20.0,89.14285714285714,13.0,93.14285714285714,1877,45.018646776771455,845,8.0,96.0,6.0,97.14285714285714
"Harrisburg, PA",21-22,6946,8228,-15.580943121050073,-1282,160.0,9.142857142857142,152.0,13.714285714285715,6530,6.3705972434915825,416,33.0,81.71428571428572,44.0,75.42857142857143,11129,-37.58648575792974,-4183,145.0,17.71428571428571,144.0,18.285714285714285
"Hartford, CT",21-22,8343,9146,-8.779794445659306,-803,154.0,12.571428571428573,138.0,21.714285714285715,10327,-19.21177495884574,-1984,142.0,19.428571428571427,133.0,24.571428571428573,15400,-45.824675324675326,-7057,160.0,9.142857142857142,161.0,8.571428571428571
"Helena, MT",21-22,1336,1382,-3.328509406657021,-46,113.0,36.0,123.0,30.28571428571429,1006,32.80318091451293,330,36.0,80.0,10.0,94.85714285714286,1183,12.933220625528307,153,23.0,87.42857142857143,17.0,90.85714285714286
"Honolulu, HI",21-22,6368,6567,-3.0303030303030276,-199,122.0,30.857142857142854,122.0,30.857142857142854,7774,-18.085927450475946,-1406,128.0,27.42857142857143,130.0,26.285714285714285,8633,-26.23653422912081,-2265,113.0,36.0,114.0,35.42857142857142
"Houma-Thibodaux, LA",21-22,3889,3123,24.527697726544993,766,46.0,74.28571428571429,26.0,85.71428571428571,3751,3.6790189282857932,138,54.0,69.71428571428572,57.0,68.0,5634,-30.972665956691515,-1745,101.0,42.857142857142854,124.0,29.714285714285715
"Indianapolis, IN",21-22,18689,18697,-0.04278761298603939,-8,110.0,37.714285714285715,110.0,37.714285714285715,21757,-14.101208806361177,-3068,159.0,9.714285714285714,114.0,35.42857142857142,22528,-17.041015625,-3839,138.0,21.714285714285715,74.0,58.285714285714285
"Jackson, MS",21-22,2479,2954,-16.079891672308733,-475,143.0,18.857142857142858,155.0,12.0,3331,-25.577904533173225,-852,121.0,31.428571428571427,158.0,10.285714285714285,4205,-41.046373365041624,-1726,100.0,43.42857142857143,151.0,14.285714285714285
"Jefferson City, MO",21-22,6544,5666,15.495940698905763,878,39.0,78.28571428571428,44.0,75.42857142857143,6484,0.9253547193090794,60,64.0,64.0,67.0,62.28571428571429,7117,-8.051145145426442,-573,59.0,66.85714285714286,45.0,74.85714285714286
"Joliet, IL",21-22,12980,10652,21.855050694705213,2328,9.0,95.42857142857143,29.0,84.0,15650,-17.060702875399357,-2670,153.0,13.142857142857142,125.0,29.142857142857142,20757,-37.46687864334923,-7777,163.0,7.428571428571429,143.0,18.857142857142858
"Kalamazoo, MI",21-22,2383,2013,18.380526577247892,370,74.0,58.285714285714285,38.0,78.85714285714286,2342,1.7506404782237306,41,66.0,62.857142857142854,64.0,64.0,3659,-34.872916097294336,-1276,86.0,51.42857142857142,136.0,22.857142857142858
"Kansas City, KS",21-22,10863,10406,4.391697097828184,457,63.0,64.57142857142857,88.0,50.28571428571429,12386,-12.296140804133703,-1523,132.0,25.142857142857146,109.0,38.285714285714285,14017,-22.501248483983737,-3154,132.0,25.142857142857146,101.0,42.857142857142854
"Kansas City-St. Joseph, MO",21-22,9038,7583,19.187656600290115,1455,20.0,89.14285714285714,35.0,80.57142857142857,9091,-0.5829941700583041,-53,75.0,57.714285714285715,72.0,59.42857142857143,10820,-16.46950092421442,-1782,102.0,42.285714285714285,71.0,60.0
"Knoxville, TN",21-22,2657,2043,30.05384238864415,614,54.0,69.71428571428572,17.0,90.85714285714286,2481,7.093913744457869,176,50.0,72.0,42.0,76.57142857142857,3516,-24.431171786120586,-859,75.0,57.714285714285715,107.0,39.42857142857143
"La Crosse, WI",21-22,9193,8629,6.536099200370837,564,58.0,67.42857142857143,79.0,55.42857142857143,8159,12.673121706091429,1034,14.0,92.57142857142857,30.0,83.42857142857143,7943,15.737127030089383,1250,4.0,98.28571428571429,14.0,92.57142857142857
"Lafayette, IN",21-22,4823,4141,16.469451823231097,682,50.0,72.0,42.0,76.57142857142857,4557,5.837173579109067,266,41.0,77.14285714285715,46.0,74.28571428571429,5320,-9.342105263157896,-497,54.0,69.71428571428572,49.0,72.57142857142857
"Lafayette, LA",21-22,9349,9607,-2.6855417924430136,-258,126.0,28.57142857142857,120.0,32.0,11063,-15.493085058302448,-1714,136.0,22.857142857142858,118.0,33.14285714285714,13764,-32.07643126997966,-4415,148.0,16.0,127.0,28.000000000000004
"Lake Charles, LA",21-22,2053,2487,-17.450743868114195,-434,142.0,19.428571428571427,157.0,10.857142857142858,2691,-23.708658491267187,-638,112.0,36.57142857142857,148.0,16.0,2204,-6.851179673321239,-151,38.0,78.85714285714286,41.0,77.14285714285715
"Lansing, MI",21-22,6318,5697,10.90047393364928,621,53.0,70.28571428571428,60.0,66.28571428571428,8399,-24.77675913799262,-2081,143.0,18.857142857142858,153.0,13.142857142857142,8956,-29.455113890129525,-2638,122.0,30.857142857142854,122.0,30.857142857142854
"Laredo, TX",21-22,1597,948,68.45991561181435,649,51.0,71.42857142857143,6.0,97.14285714285714,1153,38.50823937554206,444,29.0,84.0,8.0,96.0,1748,-8.638443935926777,-151,38.0,78.85714285714286,46.0,74.28571428571429
"Las Cruces, NM",21-22,542,161,236.64596273291926,381,67.0,62.28571428571429,1.0,100.0,566,-4.240282685512364,-24,72.0,59.42857142857143,84.0,52.57142857142857,594,-8.754208754208758,-52,35.0,80.57142857142857,47.0,73.71428571428571
"Las Vegas, NV",21-22,3976,3500,13.59999999999999,476,61.0,65.71428571428571,52.0,70.85714285714285,3067,29.63808281708511,909,16.0,91.42857142857143,14.0,92.57142857142857,3986,-0.25087807325639977,-10,32.0,82.28571428571428,32.0,82.28571428571428
"Lexington, KY",21-22,2958,2544,16.27358490566038,414,65.0,63.42857142857142,43.0,76.0,3509,-15.702479338842979,-551,106.0,40.0,120.0,32.0,3940,-24.923857868020306,-982,80.0,54.85714285714286,108.0,38.857142857142854
"Lincoln, NE",21-22,6910,7819,-11.625527561069193,-909,158.0,10.285714285714285,147.0,16.57142857142857,7019,-1.5529277674882436,-109,79.0,55.42857142857143,78.0,56.00000000000001,8150,-15.214723926380369,-1240,84.0,52.57142857142857,64.0,64.0
"Little Rock, AR",21-22,6285,5297,18.652067207853506,988,34.0,81.14285714285714,36.0,80.0,6044,3.987425545996026,241,45.0,74.85714285714286,54.0,69.71428571428572,7015,-10.406272273699212,-730,69.0,61.142857142857146,54.0,69.71428571428572
